config_id,val_rmse,train_duration_min,is_best,timestamp,error,modals,lr,node_stalk_dim,fusion_type,batch_size,edge_stalk_dim,num_diffusion_layers,weight_decay,dropout_rate,epochs
69,0.895937979221344,1.17,False,2026-02-24 11:02:05,,"['text', 'video']",0.0001,64,concat,64,64,2,0.0001,0.1,30
70,0.909146249294281,0.37,False,2026-02-24 11:02:27,,"['text', 'video']",0.0001,32,average,128,64,2,0.0001,0.1,30
71,0.8872222304344177,1.44,False,2026-02-24 11:03:53,,"['text', 'video']",0.0008,256,concat,64,64,2,0.0001,0.1,30
72,0.9035569429397583,0.14,False,2026-02-24 11:04:01,,"['text', 'video']",0.0008,32,average,256,64,2,0.0001,0.1,30
73,0.9003129005432129,0.2,False,2026-02-24 11:04:13,,"['text', 'video']",0.0001,256,average,256,64,2,0.0001,0.1,30
74,0.8997889757156372,0.2,False,2026-02-24 11:04:25,,"['text', 'video']",0.0005,32,average,256,64,2,0.0001,0.1,30
75,0.903056800365448,0.55,False,2026-02-24 11:04:58,,"['text', 'video']",0.0003,64,average,64,64,2,0.0001,0.1,30
76,0.9044443368911743,0.24,False,2026-02-24 11:05:12,,"['text', 'video']",0.0001,64,concat,256,64,2,0.0001,0.1,30
77,0.9101993441581726,0.34,False,2026-02-24 11:05:33,,"['text', 'video']",0.0008,32,average,64,64,2,0.0001,0.1,30
78,0.8978418111801147,0.59,False,2026-02-24 11:06:08,,"['text', 'video']",0.0005,128,concat,64,64,2,0.0001,0.1,30
79,0.9144110083580017,0.17,False,2026-02-24 11:06:18,,"['text', 'video']",0.0001,32,concat,256,64,2,0.0001,0.1,30
